Meter Type,Main Meter,,,
Date / End Time,kW Export,kW Import,kVAR Export,kVAR Import
11/01/2025 00:30:00,0,1007,0,236
11/01/2025 01:00:00,0,873,0,182
11/01/2025 01:30:00,0,1139,0,298
11/01/2025 02:00:00,0,1277,0,406
11/01/2025 02:30:00,0,1322,0,399
11/01/2025 03:00:00,0,1331,0,415
11/01/2025 03:30:00,0,1424,0,464
11/01/2025 04:00:00,0,1223,0,365
11/01/2025 04:30:00,0,1263,0,383
11/01/2025 05:00:00,0,1234,0,378
11/01/2025 05:30:00,0,1215,0,354
11/01/2025 06:00:00,0,1094,0,317
11/01/2025 06:30:00,0,883,0,202
11/01/2025 07:00:00,0,1151,0,319
11/01/2025 07:30:00,0,1227,0,383
11/01/2025 08:00:00,0,1027,0,255
11/01/2025 08:30:00,0,932,0,296
11/01/2025 09:00:00,0,1023,0,373
11/01/2025 09:30:00,0,1104,0,424
11/01/2025 10:00:00,0,1146,0,442
11/01/2025 10:30:00,0,1039,0,424
11/01/2025 11:00:00,0,974,0,400
11/01/2025 11:30:00,0,925,0,378
11/01/2025 12:00:00,0,1414,0,456
11/01/2025 12:30:00,0,1318,0,455
11/01/2025 13:00:00,0,935,0,388
11/01/2025 13:30:00,0,481,0,216
11/01/2025 14:00:00,0,264,0,174
11/01/2025 14:30:00,0,707,0,376
11/01/2025 15:00:00,0,1056,0,487
11/01/2025 15:30:00,0,1042,0,432
11/01/2025 16:00:00,0,1126,0,441
11/01/2025 16:30:00,0,1109,0,455
11/01/2025 17:00:00,0,598,0,228
11/01/2025 17:30:00,0,502,0,157
11/01/2025 18:00:00,0,808,0,226
11/01/2025 18:30:00,0,903,0,254
11/01/2025 19:00:00,0,889,0,248
11/01/2025 19:30:00,0,939,0,234
11/01/2025 20:00:00,0,841,0,229
11/01/2025 20:30:00,0,1022,0,303
11/01/2025 21:00:00,0,1271,0,390
11/01/2025 21:30:00,0,1243,0,391
11/01/2025 22:00:00,0,1208,0,352
11/01/2025 22:30:00,0,1242,0,394
11/01/2025 23:00:00,0,1261,0,374
11/01/2025 23:30:00,0,1256,0,397
11/02/2025 00:00:00,0,1242,0,365
11/02/2025 00:30:00,0,1038,0,271
11/02/2025 01:00:00,0,961,0,248
11/02/2025 01:30:00,0,1075,0,312
11/02/2025 02:00:00,0,1088,0,298
11/02/2025 02:30:00,0,1315,0,431
11/02/2025 03:00:00,0,1241,0,399
11/02/2025 03:30:00,0,1202,0,372
11/02/2025 04:00:00,0,1315,0,410
11/02/2025 04:30:00,0,1157,0,363
11/02/2025 05:00:00,0,926,0,261
11/02/2025 05:30:00,0,873,0,273
11/02/2025 06:00:00,0,850,0,247
11/02/2025 06:30:00,0,708,0,184
11/02/2025 07:00:00,0,876,0,263
11/02/2025 07:30:00,0,846,0,239
11/02/2025 08:00:00,0,657,0,138
11/02/2025 08:30:00,0,574,0,141
11/02/2025 09:00:00,0,590,0,217
11/02/2025 09:30:00,0,711,0,342
11/02/2025 10:00:00,0,902,0,393
11/02/2025 10:30:00,0,891,0,405
11/02/2025 11:00:00,0,768,0,382
11/02/2025 11:30:00,0,797,0,402
11/02/2025 12:00:00,0,862,0,414
11/02/2025 12:30:00,0,716,0,359
11/02/2025 13:00:00,0,767,0,342
11/02/2025 13:30:00,0,249,0,163
11/02/2025 14:00:00,0,405,0,194
11/02/2025 14:30:00,0,1058,0,398
11/02/2025 15:00:00,0,1318,0,482
11/02/2025 15:30:00,0,1174,0,439
11/02/2025 16:00:00,0,965,0,425
11/02/2025 16:30:00,0,1265,0,465
11/02/2025 17:00:00,0,1226,0,425
11/02/2025 17:30:00,0,983,0,302
11/02/2025 18:00:00,0,1140,0,338
11/02/2025 18:30:00,0,996,0,294
11/02/2025 19:00:00,0,981,0,272
11/02/2025 19:30:00,0,890,0,225
11/02/2025 20:00:00,0,739,0,176
11/02/2025 20:30:00,0,830,0,206
11/02/2025 21:00:00,0,815,0,175
11/02/2025 21:30:00,0,893,0,247
11/02/2025 22:00:00,0,998,0,286
11/02/2025 22:30:00,0,980,0,257
11/02/2025 23:00:00,0,1019,0,293
11/02/2025 23:30:00,0,877,0,220
11/03/2025 00:00:00,0,897,0,234
11/03/2025 00:30:00,0,662,0,130
11/03/2025 01:00:00,0,652,0,132
11/03/2025 01:30:00,0,901,0,250
11/03/2025 02:00:00,0,902,0,250
11/03/2025 02:30:00,0,1019,0,305
11/03/2025 03:00:00,0,957,0,278
11/03/2025 03:30:00,0,983,0,282
11/03/2025 04:00:00,0,1011,0,298
11/03/2025 04:30:00,0,909,0,263
11/03/2025 05:00:00,0,839,0,220
11/03/2025 05:30:00,0,1006,0,302
11/03/2025 06:00:00,0,846,0,216
11/03/2025 06:30:00,0,683,0,144
11/03/2025 07:00:00,0,808,0,199
11/03/2025 07:30:00,0,792,0,188
11/03/2025 08:00:00,0,660,0,162
11/03/2025 08:30:00,0,875,0,288
11/03/2025 09:00:00,0,1044,0,375
11/03/2025 09:30:00,0,1147,0,445
11/03/2025 10:00:00,0,939,0,412
11/03/2025 10:30:00,0,1121,0,450
11/03/2025 11:00:00,0,1096,0,412
11/03/2025 11:30:00,0,994,0,421
11/03/2025 12:00:00,0,848,0,385
11/03/2025 12:30:00,0,730,0,328
11/03/2025 13:00:00,0,570,0,295
11/03/2025 13:30:00,0,451,0,210
11/03/2025 14:00:00,0,550,0,302
11/03/2025 14:30:00,0,894,0,427
11/03/2025 15:00:00,0,1212,0,447
11/03/2025 15:30:00,0,1151,0,458
11/03/2025 16:00:00,0,1030,0,449
11/03/2025 16:30:00,0,1109,0,448
11/03/2025 17:00:00,0,1114,0,447
11/03/2025 17:30:00,0,832,0,270
11/03/2025 18:00:00,0,1222,0,401
11/03/2025 18:30:00,0,1406,0,444
11/03/2025 19:00:00,0,1380,0,431
11/03/2025 19:30:00,0,1273,0,373
11/03/2025 20:00:00,0,1050,0,275
11/03/2025 20:30:00,0,1097,0,320
11/03/2025 21:00:00,0,1239,0,377
11/03/2025 21:30:00,0,1401,0,445
11/03/2025 22:00:00,0,1400,0,444
11/03/2025 22:30:00,0,1357,0,387
11/03/2025 23:00:00,0,1257,0,369
11/03/2025 23:30:00,0,1260,0,387
11/04/2025 00:00:00,0,1272,0,404
11/04/2025 00:30:00,0,1026,0,261
11/04/2025 01:00:00,0,867,0,214
11/04/2025 01:30:00,0,967,0,273
11/04/2025 02:00:00,0,1141,0,307
11/04/2025 02:30:00,0,1284,0,401
11/04/2025 03:00:00,0,1229,0,345
11/04/2025 03:30:00,0,1245,0,369
11/04/2025 04:00:00,0,1315,0,393
11/04/2025 04:30:00,0,1304,0,388
11/04/2025 05:00:00,0,1236,0,396
11/04/2025 05:30:00,0,1235,0,387
11/04/2025 06:00:00,0,1269,0,373
11/04/2025 06:30:00,0,811,0,199
11/04/2025 07:00:00,0,1088,0,311
11/04/2025 07:30:00,0,1199,0,345
11/04/2025 08:00:00,0,924,0,247
11/04/2025 08:30:00,0,900,0,281
11/04/2025 09:00:00,0,1177,0,370
11/04/2025 09:30:00,0,1282,0,481
11/04/2025 10:00:00,0,1326,0,492
11/04/2025 10:30:00,0,1145,0,480
11/04/2025 11:00:00,0,1297,0,424
11/04/2025 11:30:00,0,1086,0,469
11/04/2025 12:00:00,0,910,0,468
11/04/2025 12:30:00,0,841,0,363
11/04/2025 13:00:00,0,744,0,374
11/04/2025 13:30:00,0,447,0,237
11/04/2025 14:00:00,0,643,0,273
11/04/2025 14:30:00,0,971,0,418
11/04/2025 15:00:00,0,1019,0,442
11/04/2025 15:30:00,0,1100,0,457
11/04/2025 16:00:00,0,1182,0,460
11/04/2025 16:30:00,0,1359,0,469
11/04/2025 17:00:00,0,1420,0,461
11/04/2025 17:30:00,0,1029,0,305
11/04/2025 18:00:00,0,1294,0,462
11/04/2025 18:30:00,0,1406,0,473
